Valence,Arousal,Comentario
5.114229074889868,5.758036363636364,"""My daily TL consists of : 1). Trump 2). Funny Vids 3). Porn 4). """"Why men ain't shit"""" 5). Celebrity Gossip 6). DM if… https://t.co/go1I5L2Euf"""
0.0,0.0,"""RT @Comptin: Funny Spanish videos  A thread  1) https://t.co/qu8pyrvepC"""
6.722222222222222,5.581548913043479,"""RT @juliebux: If you need a pick me up"","" @SetItUpNetflix was 1000% cuter and funnier than I anticipated"","" and I was expecting some cute and f…"""
6.879489738574872,5.275612964467958,"""@creampiedloli I thought u were a cute girl ur a guy but still cute and funny"""
4.789236431196523,5.402285091754996,"""@HuffPost Funny - all this started by some hypocritical liberals"","" now journo rags like @HuffPost are too ignorant t… https://t.co/bFifxlqXi6"""
5.891102362204723,7.361064638783269,"""@BlackManUSA @POSTwrestling Hah... funny how I could immediately read that in Vince's voice. Probably actually what… https://t.co/W97uIfewf5"""
5.392607594936709,5.705603112840467,"""This shit so funny to me😂😂😂 https://t.co/czXWNJ5IlM"""
0.0,0.0,"""RT @Pouyalilpou: LIL PEEP WAS FUNNY AS FUCK DO NOT SLEEP 😂😂😂 https://t.co/GyB9vjloAU"""
0.0,0.0,"""@Bunny_the_funny Thnkew sooo much😍😍"""
7.587662116040956,6.802991420296191,"""I love the interview 💗💗💗 the TSA  comment was funny 😂😂😂😂 https://t.co/fwiSEgc4oB"""
5.832741023815405,6.4146703046839475,"""RT @flyingronaldo: #mglit  """"This highly rated series does not disappoint. Another awesome installment in the flying reindeer series. This s…"""
6.454478713409119,5.819617599343054,"""Its funny how @AlexaBliss_WWE went from laughing and then seen her ex friend @NiaJaxWWE on @NatbyNature side @WWE"""
6.47,4.37,"""RT @pattrriicee: Funny because according to RAINN"","" 57% of rapists in the U.S. are white https://t.co/jApXHpgSVl"""
0.0,0.0,"Dam,"" Whose Line Is It Anyway is so funny"""
5.217185382650228,5.275907790271229,"""I wonder though if u asked her permission 2 take this photo of her WHILE SHE IS ASLEEP?!!🤔 Though this post seems c… https://t.co/9Yv78plTfY"""
5.956351351351351,7.048301886792452,"""RT @NickRod1776: @RealMAGASteve @RepMaxineWaters That’d be funny if a bunch of #BikersForTrump rallied near her speeches &amp; just “minded the…"""
